ID,Prix,Quantite,Remise,CA_Brut,CA_Net,TVA
199,489.98,14,20.0,6859.72,5487.78,1097.56
200,38.17,13,15.0,496.21,421.78,84.36
201,390.76,3,5.0,1172.28,1113.67,222.73
202,103.28,16,10.0,1652.48,1487.23,297.45
203,211.34,5,5.0,1056.7,1003.87,200.77
204,346.24,14,10.0,4847.36,4362.62,872.52
205,386.08,16,15.0,6177.28,5250.69,1050.14
206,381.63,3,10.0,1144.89,1030.4,206.08
207,107.66,6,10.0,645.96,581.36,116.27
208,474.92,6,5.0,2849.52,2707.04,541.41
209,449.91,9,25.0,4049.19,3036.89,607.38
210,234.34,11,20.0,2577.74,2062.19,412.44
211,33.46,2,20.0,66.92,53.54,10.71
212,218.42,2,15.0,436.84,371.31,74.26
213,382.73,19,10.0,7271.87,6544.68,1308.94
214,498.35,16,0.0,7973.6,7973.6,1594.72
215,297.35,20,20.0,5947.0,4757.6,951.52
216,384.54,1,10.0,384.54,346.09,69.22
217,187.92,1,15.0,187.92,159.73,31.95
218,119.37,16,10.0,1909.92,1718.93,343.79
219,102.9,5,25.0,514.5,385.88,77.18
220,382.8,18,5.0,6890.4,6545.88,1309.18
221,250.58,11,25.0,2756.38,2067.28,413.46
222,79.01,20,10.0,1580.2,1422.18,284.44
223,5.57,4,20.0,22.28,17.82,3.56
224,46.82,3,15.0,140.46,119.39,23.88
225,480.75,12,20.0,5769.0,4615.2,923.04
226,219.9,4,20.0,879.6,703.68,140.74
227,329.63,16,0.0,5274.08,5274.08,1054.82
228,362.47,5,10.0,1812.35,1631.12,326.22
229,238.54,16,5.0,3816.64,3625.81,725.16
230,181.41,9,25.0,1632.69,1224.52,244.9
231,256.18,19,15.0,4867.42,4137.31,827.46
232,298.3,19,10.0,5667.7,5100.93,1020.19
233,64.58,11,15.0,710.38,603.82,120.76
234,253.5,1,5.0,253.5,240.82,48.16
235,380.21,2,25.0,760.42,570.31,114.06
236,446.72,8,15.0,3573.76,3037.7,607.54
237,229.89,14,25.0,3218.46,2413.85,482.77
238,491.97,17,25.0,8363.49,6272.62,1254.52
239,319.98,3,15.0,959.94,815.95,163.19
240,188.76,15,10.0,2831.4,2548.26,509.65
241,404.75,15,0.0,6071.25,6071.25,1214.25
242,458.37,3,10.0,1375.11,1237.6,247.52
243,416.22,19,10.0,7908.18,7117.36,1423.47
244,298.94,10,5.0,2989.4,2839.93,567.99
245,109.39,4,25.0,437.56,328.17,65.63
246,151.9,5,25.0,759.5,569.62,113.93
247,383.42,15,5.0,5751.3,5463.73,1092.75
248,461.04,18,25.0,8298.72,6224.04,1244.81
249,358.68,3,10.0,1076.04,968.44,193.69
250,277.9,9,10.0,2501.1,2250.99,450.2
251,166.27,6,15.0,997.62,847.98,169.6
252,180.06,4,10.0,720.24,648.22,129.64
253,251.02,18,10.0,4518.36,4066.52,813.3
254,492.08,7,15.0,3444.56,2927.88,585.58
255,21.17,17,0.0,359.89,359.89,71.98
256,241.95,10,5.0,2419.5,2298.53,459.71
257,34.07,9,20.0,306.63,245.3,49.06
258,387.5,17,25.0,6587.5,4940.62,988.12
259,496.9,6,10.0,2981.4,2683.26,536.65
260,35.82,11,10.0,394.02,354.62,70.92
261,201.25,15,25.0,3018.75,2264.06,452.81
262,77.38,17,25.0,1315.46,986.6,197.32
263,434.15,9,10.0,3907.35,3516.61,703.32
264,88.27,7,20.0,617.89,494.31,98.86
265,20.78,12,0.0,249.36,249.36,49.87
266,75.86,3,25.0,227.58,170.69,34.14
267,449.27,1,10.0,449.27,404.34,80.87
268,414.26,9,5.0,3728.34,3541.92,708.38
269,157.2,9,15.0,1414.8,1202.58,240.52
270,311.09,19,5.0,5910.71,5615.17,1123.03
271,475.79,20,20.0,9515.8,7612.64,1522.53
272,8.89,7,20.0,62.23,49.78,9.96
273,228.92,18,15.0,4120.56,3502.48,700.5
274,20.33,10,15.0,203.3,172.8,34.56
275,95.91,15,5.0,1438.65,1366.72,273.34
276,152.99,20,15.0,3059.8,2600.83,520.17
277,268.63,15,25.0,4029.45,3022.09,604.42
278,17.0,14,10.0,238.0,214.2,42.84
279,125.03,17,15.0,2125.51,1806.68,361.34
280,374.99,19,25.0,7124.81,5343.61,1068.72
281,229.67,16,20.0,3674.72,2939.78,587.96
282,351.65,7,20.0,2461.55,1969.24,393.85
283,366.72,3,20.0,1100.16,880.13,176.03
284,355.32,12,15.0,4263.84,3624.26,724.85
285,237.79,8,10.0,1902.32,1712.09,342.42
286,453.67,20,20.0,9073.4,7258.72,1451.74
287,174.14,11,15.0,1915.54,1628.21,325.64
288,436.06,18,20.0,7849.08,6279.26,1255.85
289,401.25,18,5.0,7222.5,6861.38,1372.28
290,116.6,19,0.0,2215.4,2215.4,443.08
291,167.5,5,20.0,837.5,670.0,134.0
292,467.55,3,25.0,1402.65,1051.99,210.4
293,313.68,5,10.0,1568.4,1411.56,282.31
294,88.31,18,10.0,1589.58,1430.62,286.12
295,29.68,6,20.0,178.08,142.46,28.49
296,128.38,2,10.0,256.76,231.08,46.22
297,423.37,11,5.0,4657.07,4424.22,884.84
298,144.25,17,15.0,2452.25,2084.41,416.88
299,270.47,9,25.0,2434.23,1825.67,365.13
300,160.2,8,20.0,1281.6,1025.28,205.06
301,68.12,18,15.0,1226.16,1042.24,208.45
302,330.88,7,25.0,2316.16,1737.12,347.42
303,21.3,1,20.0,21.3,17.04,3.41
304,130.42,4,5.0,521.68,495.6,99.12
305,196.11,14,15.0,2745.54,2333.71,466.74
306,387.19,5,25.0,1935.95,1451.96,290.39
307,204.68,8,15.0,1637.44,1391.82,278.36
308,254.56,19,0.0,4836.64,4836.64,967.33
309,411.75,20,5.0,8235.0,7823.25,1564.65
310,484.72,4,5.0,1938.88,1841.94,368.39
311,368.53,3,0.0,1105.59,1105.59,221.12
312,380.95,11,25.0,4190.45,3142.84,628.57
313,288.34,7,10.0,2018.38,1816.54,363.31
314,120.43,17,5.0,2047.31,1944.94,388.99
315,483.41,11,20.0,5317.51,4254.01,850.8
316,41.38,6,25.0,248.28,186.21,37.24
317,249.95,4,25.0,999.8,749.85,149.97
318,362.61,6,10.0,2175.66,1958.09,391.62
319,402.72,3,5.0,1208.16,1147.75,229.55
320,423.74,1,5.0,423.74,402.55,80.51
321,271.48,9,10.0,2443.32,2198.99,439.8
322,469.82,19,5.0,8926.58,8480.25,1696.05
323,131.25,14,10.0,1837.5,1653.75,330.75
324,336.27,13,15.0,4371.51,3715.78,743.16
325,449.58,6,25.0,2697.48,2023.11,404.62
326,404.06,19,15.0,7677.14,6525.57,1305.11
327,371.04,13,15.0,4823.52,4099.99,820.0
328,389.34,8,10.0,3114.72,2803.25,560.65
329,147.12,1,20.0,147.12,117.7,23.54
330,278.94,14,10.0,3905.16,3514.64,702.93
331,59.53,19,10.0,1131.07,1017.96,203.59
332,441.66,8,10.0,3533.28,3179.95,635.99
333,193.84,16,0.0,3101.44,3101.44,620.29
334,5.95,13,25.0,77.35,58.01,11.6
335,57.67,20,15.0,1153.4,980.39,196.08
336,465.42,6,15.0,2792.52,2373.64,474.73
337,312.45,12,20.0,3749.4,2999.52,599.9
338,488.56,19,15.0,9282.64,7890.24,1578.05
339,429.01,1,15.0,429.01,364.66,72.93
340,347.19,1,25.0,347.19,260.39,52.08
341,246.94,13,0.0,3210.22,3210.22,642.04
342,284.84,4,15.0,1139.36,968.46,193.69
343,289.09,14,25.0,4047.26,3035.44,607.09
344,77.81,18,10.0,1400.58,1260.52,252.1
345,181.33,2,10.0,362.66,326.39,65.28
346,443.13,7,10.0,3101.91,2791.72,558.34
347,35.57,4,25.0,142.28,106.71,21.34
348,418.24,10,5.0,4182.4,3973.28,794.66
349,225.42,5,25.0,1127.1,845.32,169.06
350,389.82,15,25.0,5847.3,4385.48,877.1
351,423.23,9,20.0,3809.07,3047.26,609.45
352,247.19,15,0.0,3707.85,3707.85,741.57
353,185.02,11,10.0,2035.22,1831.7,366.34
354,330.66,15,25.0,4959.9,3719.93,743.99
355,293.35,16,15.0,4693.6,3989.56,797.91
356,101.03,12,15.0,1212.36,1030.51,206.1
357,113.1,5,5.0,565.5,537.23,107.45
358,475.15,7,25.0,3326.05,2494.54,498.91
359,114.11,3,5.0,342.33,325.21,65.04
360,247.8,8,25.0,1982.4,1486.8,297.36
361,361.37,13,15.0,4697.81,3993.14,798.63
362,106.78,17,20.0,1815.26,1452.21,290.44
363,146.58,11,5.0,1612.38,1531.76,306.35
364,224.87,11,25.0,2473.57,1855.18,371.04
365,265.07,19,20.0,5036.33,4029.06,805.81
366,198.89,14,5.0,2784.46,2645.24,529.05
367,373.23,14,20.0,5225.22,4180.18,836.04
368,378.09,6,20.0,2268.54,1814.83,362.97
369,462.28,16,25.0,7396.48,5547.36,1109.47
370,446.29,6,15.0,2677.74,2276.08,455.22
371,79.79,11,15.0,877.69,746.04,149.21
372,495.52,18,20.0,8919.36,7135.49,1427.1
373,265.92,12,15.0,3191.04,2712.38,542.48
374,265.69,2,25.0,531.38,398.53,79.71
375,367.67,15,10.0,5515.05,4963.55,992.71
376,7.84,19,5.0,148.96,141.51,28.3
377,163.06,5,15.0,815.3,693.0,138.6
378,447.54,16,0.0,7160.64,7160.64,1432.13
379,388.26,3,20.0,1164.78,931.82,186.36
380,75.91,10,25.0,759.1,569.32,113.86
381,81.04,1,10.0,81.04,72.94,14.59
382,48.89,17,15.0,831.13,706.46,141.29
383,359.85,15,25.0,5397.75,4048.31,809.66
384,259.15,19,5.0,4923.85,4677.66,935.53
385,411.91,4,5.0,1647.64,1565.26,313.05
386,456.43,12,10.0,5477.16,4929.44,985.89
387,225.66,19,0.0,4287.54,4287.54,857.51
388,333.19,18,20.0,5997.42,4797.94,959.59
389,484.23,15,10.0,7263.45,6537.11,1307.42
390,223.84,4,0.0,895.36,895.36,179.07
391,70.19,10,0.0,701.9,701.9,140.38
392,255.77,13,10.0,3325.01,2992.51,598.5
393,129.78,15,0.0,1946.7,1946.7,389.34
394,88.53,3,25.0,265.59,199.19,39.84
395,451.99,17,25.0,7683.83,5762.87,1152.57
396,208.07,16,15.0,3329.12,2829.75,565.95
397,63.82,5,20.0,319.1,255.28,51.06
398,323.85,2,0.0,647.7,647.7,129.54
399,64.98,18,25.0,1169.64,877.23,175.45
400,62.39,6,15.0,374.34,318.19,63.64
401,130.5,9,20.0,1174.5,939.6,187.92
402,324.96,10,10.0,3249.6,2924.64,584.93
403,75.41,9,5.0,678.69,644.76,128.95
404,359.51,12,0.0,4314.12,4314.12,862.82
405,332.43,3,5.0,997.29,947.43,189.49
406,426.49,2,15.0,852.98,725.03,145.01
407,399.86,5,20.0,1999.3,1599.44,319.89
408,284.98,7,0.0,1994.86,1994.86,398.97
409,314.88,11,0.0,3463.68,3463.68,692.74
410,376.5,14,10.0,5271.0,4743.9,948.78
411,476.04,9,0.0,4284.36,4284.36,856.87
412,406.0,18,20.0,7308.0,5846.4,1169.28
413,11.08,18,10.0,199.44,179.5,35.9
414,260.88,10,15.0,2608.8,2217.48,443.5
415,183.35,17,15.0,3116.95,2649.41,529.88
416,96.83,14,0.0,1355.62,1355.62,271.12
417,241.19,2,20.0,482.38,385.9,77.18
418,387.13,13,5.0,5032.69,4781.06,956.21
419,116.94,13,10.0,1520.22,1368.2,273.64
420,187.8,9,5.0,1690.2,1605.69,321.14
421,40.62,17,10.0,690.54,621.49,124.3
422,105.66,13,20.0,1373.58,1098.86,219.77
423,330.68,9,15.0,2976.12,2529.7,505.94
424,201.2,9,15.0,1810.8,1539.18,307.84
425,404.09,9,25.0,3636.81,2727.61,545.52
426,129.49,3,15.0,388.47,330.2,66.04
427,417.84,16,10.0,6685.44,6016.9,1203.38
428,187.52,7,0.0,1312.64,1312.64,262.53
429,111.7,9,20.0,1005.3,804.24,160.85
430,175.19,19,20.0,3328.61,2662.89,532.58
431,92.64,5,0.0,463.2,463.2,92.64
432,346.42,14,20.0,4849.88,3879.9,775.98
433,216.45,13,5.0,2813.85,2673.16,534.63
434,497.29,9,5.0,4475.61,4251.83,850.37
435,493.36,12,0.0,5920.32,5920.32,1184.06
436,446.52,17,25.0,7590.84,5693.13,1138.63
437,376.19,13,10.0,4890.47,4401.42,880.28
438,391.01,12,15.0,4692.12,3988.3,797.66
439,327.26,17,15.0,5563.42,4728.91,945.78
440,67.94,15,25.0,1019.1,764.32,152.86
441,179.2,13,20.0,2329.6,1863.68,372.74
442,444.7,8,25.0,3557.6,2668.2,533.64
443,287.1,9,20.0,2583.9,2067.12,413.42
444,218.74,4,20.0,874.96,699.97,139.99
445,313.23,18,15.0,5638.14,4792.42,958.48
446,360.8,20,25.0,7216.0,5412.0,1082.4
447,195.72,2,10.0,391.44,352.3,70.46
448,201.53,2,0.0,403.06,403.06,80.61
449,355.03,20,0.0,7100.6,7100.6,1420.12
450,37.96,1,20.0,37.96,30.37,6.07
451,130.97,12,25.0,1571.64,1178.73,235.75
452,473.7,18,15.0,8526.6,7247.61,1449.52
453,249.23,17,25.0,4236.91,3177.68,635.54
454,137.01,15,15.0,2055.15,1746.88,349.38
455,372.89,6,25.0,2237.34,1678.01,335.6
456,76.65,11,20.0,843.15,674.52,134.9
457,44.87,4,25.0,179.48,134.61,26.92
458,318.9,5,5.0,1594.5,1514.77,302.95
459,51.03,13,5.0,663.39,630.22,126.04
460,499.8,18,5.0,8996.4,8546.58,1709.32
461,458.7,5,0.0,2293.5,2293.5,458.7
462,125.82,8,10.0,1006.56,905.9,181.18
463,91.13,18,20.0,1640.34,1312.27,262.45
464,169.79,10,20.0,1697.9,1358.32,271.66
465,339.61,4,10.0,1358.44,1222.6,244.52
466,154.67,20,15.0,3093.4,2629.39,525.88
467,150.72,4,10.0,602.88,542.59,108.52
468,80.17,18,20.0,1443.06,1154.45,230.89
469,358.36,20,5.0,7167.2,6808.84,1361.77
470,128.05,4,5.0,512.2,486.59,97.32
471,171.93,10,10.0,1719.3,1547.37,309.47
472,183.31,8,0.0,1466.48,1466.48,293.3
473,299.59,8,10.0,2396.72,2157.05,431.41
474,446.69,20,15.0,8933.8,7593.73,1518.75
475,372.64,8,5.0,2981.12,2832.06,566.41
476,30.26,8,20.0,242.08,193.66,38.73
477,64.46,7,25.0,451.22,338.41,67.68
478,246.65,6,15.0,1479.9,1257.91,251.58
479,113.54,5,5.0,567.7,539.32,107.86
480,68.26,12,5.0,819.12,778.16,155.63
481,294.88,15,20.0,4423.2,3538.56,707.71
482,479.17,4,25.0,1916.68,1437.51,287.5
483,331.63,14,0.0,4642.82,4642.82,928.56
484,180.81,14,0.0,2531.34,2531.34,506.27
485,363.61,11,15.0,3999.71,3399.75,679.95
486,162.64,1,20.0,162.64,130.11,26.02
487,166.8,2,20.0,333.6,266.88,53.38
488,475.77,2,10.0,951.54,856.39,171.28
489,448.25,9,25.0,4034.25,3025.69,605.14
490,113.21,12,0.0,1358.52,1358.52,271.7
491,181.89,2,10.0,363.78,327.4,65.48
492,295.01,2,25.0,590.02,442.51,88.5
493,475.4,14,10.0,6655.6,5990.04,1198.01
494,307.77,11,20.0,3385.47,2708.38,541.68
495,79.09,9,5.0,711.81,676.22,135.24
496,174.92,8,25.0,1399.36,1049.52,209.9
497,398.78,8,25.0,3190.24,2392.68,478.54
498,349.9,11,5.0,3848.9,3656.45,731.29
499,371.42,15,5.0,5571.3,5292.73,1058.55
500,405.02,19,15.0,7695.38,6541.07,1308.21
501,165.35,11,20.0,1818.85,1455.08,291.02
502,302.12,4,10.0,1208.48,1087.63,217.53
503,202.75,4,15.0,811.0,689.35,137.87
504,205.1,1,5.0,205.1,194.84,38.97
505,180.96,5,10.0,904.8,814.32,162.86
506,417.94,20,0.0,8358.8,8358.8,1671.76
507,317.32,18,5.0,5711.76,5426.17,1085.23
508,485.03,13,0.0,6305.39,6305.39,1261.08
509,18.18,14,5.0,254.52,241.79,48.36
510,283.0,3,5.0,849.0,806.55,161.31
511,141.21,7,15.0,988.47,840.2,168.04
512,58.71,9,25.0,528.39,396.29,79.26
513,455.0,19,5.0,8645.0,8212.75,1642.55
514,27.87,18,0.0,501.66,501.66,100.33
515,169.39,20,20.0,3387.8,2710.24,542.05
516,418.54,19,25.0,7952.26,5964.19,1192.84
517,329.05,3,20.0,987.15,789.72,157.94
518,200.38,12,15.0,2404.56,2043.88,408.78
519,445.11,13,0.0,5786.43,5786.43,1157.29
520,471.36,8,5.0,3770.88,3582.34,716.47
521,266.34,5,15.0,1331.7,1131.94,226.39
522,183.68,10,25.0,1836.8,1377.6,275.52
523,24.14,14,10.0,337.96,304.16,60.83
524,275.62,2,15.0,551.24,468.55,93.71
525,349.29,6,5.0,2095.74,1990.95,398.19
526,9.02,7,15.0,63.14,53.67,10.73
527,75.78,12,5.0,909.36,863.89,172.78
528,111.57,7,0.0,780.99,780.99,156.2
529,349.28,20,5.0,6985.6,6636.32,1327.26
530,447.55,9,15.0,4027.95,3423.76,684.75
531,133.3,12,20.0,1599.6,1279.68,255.94
532,35.93,6,20.0,215.58,172.46,34.49
533,423.6,16,5.0,6777.6,6438.72,1287.74
534,377.02,6,25.0,2262.12,1696.59,339.32
535,168.05,1,20.0,168.05,134.44,26.89
536,89.21,18,0.0,1605.78,1605.78,321.16
537,18.19,11,10.0,200.09,180.08,36.02
538,326.2,16,10.0,5219.2,4697.28,939.46
539,155.82,1,20.0,155.82,124.66,24.93
540,463.57,6,25.0,2781.42,2086.07,417.21
541,371.2,19,5.0,7052.8,6700.16,1340.03
542,186.26,14,25.0,2607.64,1955.73,391.15
543,464.96,4,15.0,1859.84,1580.86,316.17
544,433.82,15,25.0,6507.3,4880.48,976.1
545,101.02,5,20.0,505.1,404.08,80.82
546,479.33,20,10.0,9586.6,8627.94,1725.59
547,482.6,6,10.0,2895.6,2606.04,521.21
548,294.57,15,25.0,4418.55,3313.91,662.78
549,93.09,10,15.0,930.9,791.27,158.25
550,175.47,19,20.0,3333.93,2667.14,533.43
551,97.47,7,10.0,682.29,614.06,122.81
552,216.56,5,15.0,1082.8,920.38,184.08
553,338.55,5,15.0,1692.75,1438.84,287.77
554,489.08,6,10.0,2934.48,2641.03,528.21
555,119.52,9,10.0,1075.68,968.11,193.62
556,324.26,6,10.0,1945.56,1751.0,350.2
557,102.86,15,15.0,1542.9,1311.47,262.29
558,196.56,2,0.0,393.12,393.12,78.62
559,342.35,13,10.0,4450.55,4005.5,801.1
560,229.43,11,5.0,2523.73,2397.54,479.51
561,292.73,3,0.0,878.19,878.19,175.64
562,181.09,11,10.0,1991.99,1792.79,358.56
563,223.1,8,5.0,1784.8,1695.56,339.11
564,151.08,17,5.0,2568.36,2439.94,487.99
565,133.19,13,25.0,1731.47,1298.6,259.72
566,39.79,8,10.0,318.32,286.49,57.3
567,478.79,4,15.0,1915.16,1627.89,325.58
568,194.7,18,5.0,3504.6,3329.37,665.87
569,218.04,10,5.0,2180.4,2071.38,414.28
570,202.01,5,20.0,1010.05,808.04,161.61
571,155.8,11,25.0,1713.8,1285.35,257.07
572,174.84,9,10.0,1573.56,1416.2,283.24
573,159.01,1,0.0,159.01,159.01,31.8
574,369.17,3,20.0,1107.51,886.01,177.2
575,413.76,15,10.0,6206.4,5585.76,1117.15
576,176.72,13,5.0,2297.36,2182.49,436.5
577,391.51,2,20.0,783.02,626.42,125.28
578,379.23,20,25.0,7584.6,5688.45,1137.69
579,200.77,6,0.0,1204.62,1204.62,240.92
580,66.41,7,5.0,464.87,441.63,88.33
581,408.14,20,10.0,8162.8,7346.52,1469.3
582,89.49,3,0.0,268.47,268.47,53.69
583,222.64,16,10.0,3562.24,3206.02,641.2
584,205.75,1,5.0,205.75,195.46,39.09
585,254.78,15,0.0,3821.7,3821.7,764.34
586,372.24,20,15.0,7444.8,6328.08,1265.62
587,369.66,4,15.0,1478.64,1256.84,251.37
588,7.99,2,25.0,15.98,11.98,2.4
589,240.47,20,25.0,4809.4,3607.05,721.41
590,75.1,16,20.0,1201.6,961.28,192.26
591,238.9,1,0.0,238.9,238.9,47.78
592,136.93,17,25.0,2327.81,1745.86,349.17
593,96.98,2,5.0,193.96,184.26,36.85
594,321.72,12,20.0,3860.64,3088.51,617.7
595,496.24,8,10.0,3969.92,3572.93,714.59
596,271.38,20,10.0,5427.6,4884.84,976.97
597,328.16,9,5.0,2953.44,2805.77,561.15
598,400.18,6,25.0,2401.08,1800.81,360.16
599,406.7,20,5.0,8134.0,7727.3,1545.46
600,167.78,10,15.0,1677.8,1426.13,285.23
601,260.68,5,5.0,1303.4,1238.23,247.65
602,318.25,6,10.0,1909.5,1718.55,343.71
603,472.35,10,10.0,4723.5,4251.15,850.23
604,459.19,5,5.0,2295.95,2181.15,436.23
605,251.77,5,0.0,1258.85,1258.85,251.77
606,418.64,10,20.0,4186.4,3349.12,669.82
607,303.69,13,0.0,3947.97,3947.97,789.59
608,136.4,19,25.0,2591.6,1943.7,388.74
609,433.47,2,5.0,866.94,823.59,164.72
610,215.83,9,25.0,1942.47,1456.85,291.37
611,145.79,9,20.0,1312.11,1049.69,209.94
612,180.93,14,10.0,2533.02,2279.72,455.94
613,6.79,17,10.0,115.43,103.89,20.78
614,100.15,15,15.0,1502.25,1276.91,255.38
615,344.7,7,15.0,2412.9,2050.97,410.19
616,188.05,6,5.0,1128.3,1071.89,214.38
617,144.19,12,25.0,1730.28,1297.71,259.54
618,395.34,1,15.0,395.34,336.04,67.21
619,370.93,19,25.0,7047.67,5285.75,1057.15
620,207.19,18,20.0,3729.42,2983.54,596.71
621,240.84,1,25.0,240.84,180.63,36.13
622,426.07,12,10.0,5112.84,4601.56,920.31
623,408.09,20,15.0,8161.8,6937.53,1387.51
624,448.46,12,5.0,5381.52,5112.44,1022.49
625,408.52,4,10.0,1634.08,1470.67,294.13
626,265.48,12,5.0,3185.76,3026.47,605.29
627,254.58,19,25.0,4837.02,3627.77,725.55
628,322.77,11,0.0,3550.47,3550.47,710.09
629,353.69,5,10.0,1768.45,1591.61,318.32
630,162.95,20,25.0,3259.0,2444.25,488.85
631,211.19,4,10.0,844.76,760.28,152.06
632,174.07,8,25.0,1392.56,1044.42,208.88
633,122.78,19,20.0,2332.82,1866.26,373.25
634,227.55,12,20.0,2730.6,2184.48,436.9
635,294.71,15,0.0,4420.65,4420.65,884.13
636,419.21,6,5.0,2515.26,2389.5,477.9
637,358.6,13,10.0,4661.8,4195.62,839.12
638,357.47,19,20.0,6791.93,5433.54,1086.71
639,245.68,4,0.0,982.72,982.72,196.54
640,159.88,12,20.0,1918.56,1534.85,306.97
641,398.6,1,25.0,398.6,298.95,59.79
642,246.63,2,5.0,493.26,468.6,93.72
643,395.34,7,10.0,2767.38,2490.64,498.13
644,497.22,16,15.0,7955.52,6762.19,1352.44
645,144.46,2,5.0,288.92,274.47,54.89
