ID,Prix,Quantite,Remise
483,331.63,14,0
484,180.81,14,0
485,363.61,11,15
486,162.64,1,20
487,166.8,2,20
488,475.77,2,10
489,448.25,9,25
490,113.21,12,0
491,181.89,2,10
492,295.01,2,25
493,475.4,14,10
494,307.77,11,20
495,79.09,9,5
496,174.92,8,25
497,398.78,8,25
498,349.9,11,5
499,371.42,15,5
500,405.02,19,15
501,165.35,11,20
502,302.12,4,10
503,202.75,4,15
504,205.1,1,5
505,180.96,5,10
506,417.94,20,0
507,317.32,18,5
508,485.03,13,0
509,18.18,14,5
510,283.0,3,5
511,141.21,7,15
512,58.71,9,25
513,455.0,19,5
514,27.87,18,0
515,169.39,20,20
516,418.54,19,25
517,329.05,3,20
518,200.38,12,15
519,445.11,13,0
520,471.36,8,5
521,266.34,5,15
522,183.68,10,25
523,24.14,14,10
524,275.62,2,15
525,349.29,6,5
526,9.02,7,15
527,75.78,12,5
528,111.57,7,0
529,349.28,20,5
530,447.55,9,15
531,133.3,12,20
532,35.93,6,20
533,423.6,16,5
534,377.02,6,25
535,168.05,1,20
536,89.21,18,0
537,18.19,11,10
538,326.2,16,10
539,155.82,1,20
540,463.57,6,25
541,371.2,19,5
542,186.26,14,25
543,464.96,4,15
544,433.82,15,25
545,101.02,5,20
546,479.33,20,10
547,482.6,6,10
548,294.57,15,25
549,93.09,10,15
550,175.47,19,20
551,97.47,7,10
552,216.56,5,15
553,338.55,5,15
554,489.08,6,10
555,119.52,9,10
556,324.26,6,10
557,102.86,15,15
558,196.56,2,0
559,342.35,13,10
560,229.43,11,5
561,292.73,3,0
562,181.09,11,10
563,223.1,8,5
564,151.08,17,5
565,133.19,13,25
566,39.79,8,10
567,478.79,4,15
568,194.7,18,5
569,218.04,10,5
570,202.01,5,20
571,155.8,11,25
572,174.84,9,10
573,159.01,1,0
574,369.17,3,20
575,413.76,15,10
576,176.72,13,5
577,391.51,2,20
578,379.23,20,25
579,200.77,6,0
580,66.41,7,5
581,408.14,20,10
582,89.49,3,0
583,222.64,16,10
584,205.75,1,5
585,254.78,15,0
586,372.24,20,15
587,369.66,4,15
588,7.99,2,25
589,240.47,20,25
590,75.1,16,20
591,238.9,1,0
592,136.93,17,25
593,96.98,2,5
594,321.72,12,20
595,496.24,8,10
596,271.38,20,10
597,328.16,9,5
598,400.18,6,25
599,406.7,20,5
600,167.78,10,15
601,260.68,5,5
602,318.25,6,10
603,472.35,10,10
604,459.19,5,5
605,251.77,5,0
606,418.64,10,20
607,303.69,13,0
608,136.4,19,25
609,433.47,2,5
610,215.83,9,25
611,145.79,9,20
612,180.93,14,10
613,6.79,17,10
614,100.15,15,15
615,344.7,7,15
616,188.05,6,5
617,144.19,12,25
618,395.34,1,15
619,370.93,19,25
620,207.19,18,20
621,240.84,1,25
622,426.07,12,10
623,408.09,20,15
624,448.46,12,5
625,408.52,4,10
626,265.48,12,5
627,254.58,19,25
628,322.77,11,0
629,353.69,5,10
630,162.95,20,25
631,211.19,4,10
632,174.07,8,25
633,122.78,19,20
634,227.55,12,20
635,294.71,15,0
636,419.21,6,5
637,358.6,13,10
638,357.47,19,20
639,245.68,4,0
640,159.88,12,20
641,398.6,1,25
642,246.63,2,5
643,395.34,7,10
644,497.22,16,15
645,144.46,2,5
646,89.95,2,0
647,90.28,9,0
648,138.99,6,0
649,468.99,20,0
650,251.14,14,20
651,258.15,8,5
652,273.34,2,5
653,25.3,14,20
654,266.89,17,5
655,55.13,1,0
656,312.47,9,15
657,207.75,13,10
658,205.69,16,15
659,383.88,13,0
660,492.48,6,0
661,131.34,15,20
662,266.0,4,20
663,82.93,18,15
664,233.54,15,5
665,101.89,9,15
666,10.9,14,10
667,105.96,6,15
668,80.38,19,10
669,105.18,20,25
670,21.19,17,10
671,332.07,17,15
672,96.8,11,15
673,248.89,6,25
674,22.66,18,0
675,143.43,9,10
676,59.47,2,15
677,491.29,3,10
678,125.86,5,25
679,43.16,15,0
680,392.23,10,10
681,223.88,4,25
682,293.83,17,10
683,288.29,2,25
684,115.91,6,0
685,206.9,14,0
686,385.29,20,10
687,242.06,2,10
688,250.91,7,15
689,453.56,16,10
690,201.81,17,25
691,480.94,6,5
692,362.13,2,20
693,63.69,8,0
694,429.6,20,20
695,493.0,3,15
696,371.39,9,5
697,6.65,3,15
698,184.02,7,5
699,397.26,17,5
700,356.96,9,10
701,20.42,12,15
702,426.35,1,5
703,60.82,6,25
704,185.9,6,25
705,72.3,7,20
706,458.75,3,10
707,475.12,18,20
708,395.76,20,15
709,60.81,20,10
710,298.66,19,25
711,398.56,15,20
712,309.19,1,0
713,359.63,8,0
714,295.94,20,10
715,324.39,12,15
716,269.29,5,0
717,121.05,5,15
718,183.81,16,5
719,434.4,11,20
720,469.09,5,20
721,149.28,19,15
722,85.99,12,25
723,409.85,17,20
724,208.46,10,0
725,201.25,5,25
726,234.6,16,20
727,373.37,7,15
728,335.29,2,5
729,432.78,17,0
730,487.44,3,25
731,40.8,16,20
732,375.99,15,10
733,426.99,2,0
734,49.24,15,15
735,386.5,9,15
736,162.12,11,25
737,194.68,11,20
738,49.91,9,5
739,421.62,19,5
740,495.58,9,0
741,217.33,2,15
742,251.43,8,25
743,121.14,19,15
744,244.99,12,20
745,316.18,4,20
746,101.46,6,20
747,237.17,2,25
748,82.8,14,20
749,90.98,12,25
750,325.9,13,0
751,386.47,14,20
752,92.45,3,10
753,254.17,14,0
754,353.87,6,0
755,48.69,12,0
756,31.83,12,25
757,208.14,4,15
758,380.62,13,5
759,232.82,2,5
760,340.89,6,5
761,37.48,11,5
762,357.14,20,5
763,293.54,3,5
764,7.13,10,5
765,220.76,6,5
766,154.97,17,15
767,451.76,9,25
768,77.84,7,20
769,86.74,6,25
770,361.33,12,15
771,490.16,14,25
772,493.53,7,0
773,31.78,18,20
774,357.85,18,25
775,194.99,1,0
776,250.17,16,25
777,370.09,13,25
778,224.85,7,15
779,175.48,9,0
780,254.59,14,10
781,304.36,15,0
782,38.14,19,25
783,301.89,3,10
784,433.14,16,15
785,70.48,6,15
786,159.43,20,0
787,172.12,16,0
788,119.1,6,0
789,314.28,13,15
790,255.71,4,15
791,218.97,15,0
792,53.64,14,15
793,428.38,11,25
794,455.14,10,5
795,93.19,7,0
796,463.55,8,15
797,436.79,15,20
798,206.5,4,10
799,262.59,19,0
800,359.94,3,0
801,58.73,6,20
802,93.39,5,10
803,70.73,17,0
804,393.34,1,20
805,205.83,17,20
806,245.52,1,25
807,338.9,18,0
808,108.98,8,5
809,453.45,6,10
810,127.17,20,0
811,350.33,13,25
812,172.77,3,20
813,200.26,15,25
814,50.77,6,20
815,410.22,9,0
816,464.91,9,5
817,66.72,5,0
818,19.87,20,10
819,70.69,6,20
820,8.57,19,15
821,404.99,17,25
822,161.66,10,5
823,29.48,14,10
824,170.94,4,20
825,352.14,2,25
826,92.65,3,20
827,269.84,9,25
828,414.8,5,20
829,238.42,3,5
830,262.53,11,25
831,255.76,12,20
832,23.13,1,25
833,61.1,17,5
834,36.32,10,15
835,435.56,16,25
836,25.49,15,5
837,253.6,19,5
838,148.9,7,5
839,80.12,14,10
840,385.69,7,25
841,179.2,7,5
842,480.56,1,5
843,404.1,15,25
844,483.64,4,5
845,44.87,14,0
846,342.11,16,5
847,409.78,14,0
848,455.91,14,10
849,208.99,2,10
850,100.17,2,25
851,388.95,9,10
852,421.27,17,15
853,316.9,14,5
854,261.36,1,25
855,186.0,8,0
856,235.79,9,5
857,75.1,7,10
858,12.19,1,5
859,174.39,4,20
860,160.58,14,20
861,390.07,19,25
862,108.14,10,10
863,439.88,10,20
864,398.18,5,10
865,306.14,12,15
866,30.13,3,25
867,435.29,2,0
868,194.7,6,10
869,194.06,8,10
870,133.71,16,0
871,457.51,10,25
872,218.01,4,0
873,30.07,18,0
874,83.12,4,15
875,290.65,15,25
876,352.69,19,20
877,471.5,13,15
878,209.03,4,10
879,24.3,18,20
880,197.44,9,20
881,332.43,9,5
882,383.29,4,25
883,411.92,1,20
884,223.58,13,25
885,424.26,13,0
886,482.23,7,5
887,231.86,9,0
888,426.35,8,0
889,412.67,9,25
890,412.56,20,10
891,213.95,9,10
892,359.73,11,20
893,85.77,15,15
894,239.23,8,25
895,413.83,9,20
896,367.34,17,0
897,121.9,9,15
898,255.29,16,0
899,335.85,8,15
900,109.43,3,5
901,179.69,18,15
902,355.98,4,25
903,243.61,6,5
904,72.51,20,25
905,328.29,7,25
906,437.75,19,0
907,167.64,10,15
908,125.24,10,25
909,88.51,13,25
910,276.73,8,15
911,25.08,18,20
912,347.21,4,5
913,326.88,19,25
914,447.65,5,15
915,94.93,7,15
916,416.98,13,25
917,261.89,10,15
918,82.07,17,10
919,473.2,12,0
920,285.79,1,5
921,330.11,14,15
922,19.57,14,25
923,203.05,13,10
924,449.29,15,5
925,233.65,7,20
926,259.97,4,20
927,67.62,1,0
928,264.21,8,15
929,165.13,3,15
930,191.22,13,15
931,108.32,10,0
932,255.58,4,5
933,301.57,8,0
934,174.96,18,15
935,175.6,10,15
936,387.31,6,10
937,370.33,15,0
938,492.13,19,5
939,64.48,13,25
940,134.83,6,15
941,27.39,10,0
942,42.07,8,5
943,344.32,7,25
944,71.96,8,25
945,32.01,6,5
946,417.31,16,20
947,152.19,19,0
948,434.36,3,20
949,229.51,9,0
950,167.14,8,0
951,22.68,6,5
952,118.24,7,15
953,423.29,19,0
954,284.34,12,5
955,321.43,13,25
956,138.4,2,15
957,238.84,16,5
958,424.68,2,10
959,157.29,6,15
960,384.39,3,20
961,77.58,14,25
962,66.63,17,15
963,91.16,12,25
964,74.18,15,5
965,396.72,17,0
966,266.33,4,15
967,58.26,1,15
968,341.67,2,15
969,344.09,9,15
970,483.41,12,0
971,468.21,6,5
972,183.19,10,20
973,77.67,3,20
974,261.4,14,5
975,383.53,1,5
976,305.14,13,15
977,339.23,5,20
978,399.06,3,10
979,86.78,19,10
980,449.81,6,25
981,267.23,9,5
982,103.53,10,0
983,267.73,13,20
984,387.59,15,5
985,123.71,17,20
986,372.2,8,10
987,104.31,12,0
988,225.17,4,10
989,362.9,4,25
990,239.68,6,15
991,138.88,10,5
992,187.15,1,10
993,201.67,20,25
994,493.87,9,20
995,426.36,1,25
996,200.48,7,10
997,88.72,5,20
998,121.61,19,20
999,264.07,12,5
1000,247.39,11,10
1001,56.67,12,25
1002,165.26,18,5
1003,422.53,14,5
1004,5.77,5,25
1005,198.07,12,20
1006,447.34,18,10
1007,213.73,9,25
1008,241.62,15,20
1009,394.15,14,25
1010,466.04,14,10
1011,446.15,5,5
1012,90.37,6,15
1013,426.61,16,15
1014,207.9,4,0
1015,298.74,8,20
1016,434.03,18,15
1017,180.52,4,0
1018,448.6,8,5
1019,442.34,19,0
1020,34.18,15,20
1021,487.6,20,15
1022,439.98,15,10
1023,115.02,14,20
1024,444.34,16,5
1025,146.75,12,20
1026,371.96,1,0
1027,200.08,7,5
1028,77.33,13,25
1029,78.91,20,15
1030,72.84,19,0
1031,61.13,15,15
1032,429.78,5,5
1033,192.85,12,5
1034,33.27,10,0
1035,342.98,6,0
1036,358.48,2,0
1037,71.8,16,20
1038,439.67,19,10
1039,84.93,16,5
1040,169.78,20,0
1041,330.61,9,20
1042,39.51,20,10
1043,36.98,20,20
1044,203.49,7,25
1045,343.71,10,15
1046,266.41,7,25
1047,391.76,15,25
1048,318.1,4,20
1049,398.19,15,0
1050,399.75,12,20
1051,284.36,16,25
1052,261.24,18,15
1053,314.66,15,15
1054,360.02,9,0
1055,303.28,9,25
1056,13.4,16,0
1057,263.1,8,25
1058,114.25,9,5
1059,65.52,20,15
1060,496.16,19,20
1061,442.88,14,10
1062,178.31,10,15
1063,48.08,10,15
1064,54.09,5,25
1065,276.64,8,10
1066,362.07,6,20
1067,426.12,7,10
1068,240.56,11,25
1069,280.23,6,5
1070,370.26,17,10
1071,437.04,10,15
1072,26.23,14,0
1073,18.95,14,25
1074,357.66,2,5
1075,238.81,9,20
1076,167.88,12,0
1077,221.36,3,25
1078,234.41,4,20
1079,59.42,1,5
1080,449.36,16,15
1081,366.32,9,10
1082,54.93,11,10
1083,381.18,10,5
1084,60.85,18,15
1085,457.8,18,10
1086,165.12,13,20
1087,482.11,2,20
1088,107.4,11,10
1089,228.96,1,15
1090,139.85,18,20
1091,187.3,2,5
1092,391.68,4,5
1093,216.27,18,20
1094,398.75,17,10
1095,7.53,19,5
1096,112.82,17,15
1097,414.71,5,20
1098,326.95,7,5
1099,25.31,3,10
1100,180.33,18,25
1101,237.05,11,5
1102,116.63,10,0
1103,214.0,16,5
1104,401.29,13,5
1105,299.69,2,0
1106,105.48,11,20
1107,96.06,12,20
1108,135.13,19,20
1109,106.58,12,0
1110,413.68,6,25
1111,114.37,5,20
1112,346.91,3,20
1113,295.48,10,0
1114,486.16,9,15
1115,240.69,8,5
1116,161.17,2,20
1117,98.63,15,15
1118,82.26,1,20
1119,373.37,12,10
1120,452.22,16,10
1121,182.62,15,15
1122,24.68,14,20
1123,316.63,5,25
1124,263.08,8,15
1125,359.87,12,25
1126,155.48,6,25
1127,442.7,5,20
1128,193.19,4,15
1129,458.48,7,25
1130,26.07,8,0
1131,191.88,4,10
1132,17.11,3,0
1133,329.41,10,25
1134,329.83,2,15
1135,451.36,10,15
1136,432.62,8,0
1137,270.2,17,15
1138,436.94,5,10
1139,384.87,20,25
1140,166.89,7,15
1141,308.8,10,5
1142,456.53,18,20
1143,461.87,9,15
1144,229.68,12,20
1145,172.86,16,20
1146,452.99,10,20
1147,304.44,20,0
1148,322.3,10,20
1149,423.75,11,0
1150,145.2,17,15
1151,234.66,10,20
1152,107.36,3,5
1153,227.39,3,10
1154,477.2,11,25
1155,244.78,11,25
1156,443.43,11,5
1157,326.57,9,0
1158,10.09,20,15
1159,413.69,8,0
1160,105.41,4,20
1161,144.59,8,10
1162,75.35,3,10
1163,78.04,15,10
1164,263.4,3,15
1165,477.23,11,0
1166,296.6,20,25
1167,93.75,11,0
1168,256.75,15,10
1169,462.39,2,15
1170,57.43,19,0
1171,208.4,4,0
1172,62.62,19,10
1173,14.57,8,0
1174,423.61,18,5
1175,132.47,9,0
1176,42.51,17,15
1177,185.96,19,20
1178,292.03,19,25
1179,19.9,3,10
1180,72.85,18,15
1181,382.39,10,25
1182,30.01,19,20
1183,172.16,18,10
1184,449.64,20,15
1185,320.1,15,0
1186,314.6,11,0
1187,270.36,15,10
1188,481.35,8,20
1189,60.33,12,10
1190,429.13,5,10
1191,277.5,15,20
1192,433.01,16,0
1193,385.01,7,15
1194,196.13,9,10
1195,17.24,2,0
1196,200.57,3,10
1197,123.42,19,15
1198,462.9,5,15
1199,236.53,5,15
1200,357.83,20,15
1201,83.21,7,10
1202,179.8,1,15
1203,259.73,19,5
1204,240.11,4,20
1205,66.8,11,20
1206,291.18,2,5
1207,299.63,12,15
1208,183.12,17,10
1209,213.06,6,10
1210,63.64,1,5
1211,270.79,1,0
1212,301.14,9,20
1213,334.26,5,20
1214,381.39,9,20
1215,473.72,11,0
1216,298.63,9,10
1217,275.84,9,10
1218,367.4,5,5
1219,203.54,17,5
1220,387.51,3,0
1221,343.25,19,5
1222,376.47,11,20
1223,160.77,15,25
1224,475.21,14,25
1225,57.38,20,25
1226,107.15,19,25
1227,186.66,3,25
1228,376.77,16,10
1229,215.44,7,15
1230,330.69,10,5
1231,338.2,6,20
1232,84.38,10,5
1233,60.87,9,25
1234,345.91,8,10
1235,317.62,12,25
1236,169.81,18,10
1237,391.29,18,20
1238,141.77,5,20
1239,440.12,10,20
1240,423.68,9,25
1241,36.04,10,15
1242,155.06,10,20
1243,93.33,4,10
1244,418.44,13,20
1245,321.44,20,0
1246,230.45,9,15
1247,72.69,16,5
1248,322.53,12,20
1249,101.71,19,10
1250,427.48,11,5
1251,327.83,11,10
1252,172.99,8,15
1253,299.76,20,25
1254,455.87,12,20
1255,376.79,11,0
1256,236.09,3,15
1257,174.29,1,0
1258,10.99,4,10
1259,436.06,2,20
1260,272.96,3,5
1261,360.46,17,25
1262,481.57,9,20
1263,408.86,5,15
1264,328.1,7,20
1265,218.35,9,0
1266,320.85,16,5
1267,226.84,4,20
1268,397.24,18,0
1269,149.29,5,25
1270,26.44,2,0
1271,241.68,4,0
1272,381.65,3,0
1273,161.2,4,20
1274,248.6,20,0
1275,399.69,17,0
1276,212.67,15,15
1277,332.84,8,0
1278,493.2,2,0
1279,148.36,1,5
1280,297.26,3,25
1281,371.82,18,15
1282,151.75,11,5
1283,192.65,4,5
1284,342.72,13,5
1285,421.03,2,20
1286,374.23,11,25
1287,160.39,13,10
1288,472.23,20,0
1289,22.08,12,25
1290,394.06,8,20
1291,437.83,7,0
1292,382.51,4,20
1293,200.43,15,5
1294,208.93,9,0
1295,168.67,1,15
1296,429.73,7,0
1297,167.47,3,10
1298,143.1,12,5
1299,42.88,16,0
1300,447.18,5,10
1301,317.93,9,20
1302,292.9,2,15
1303,13.99,17,20
1304,101.77,16,10
1305,141.41,9,5
1306,387.34,20,20
1307,433.78,2,25
1308,194.16,18,5
1309,331.35,7,15
1310,230.83,12,25
1311,374.35,12,25
1312,127.06,13,5
1313,119.01,8,0
1314,16.35,2,20
1315,224.37,1,15
1316,12.0,9,0
1317,215.83,8,25
1318,395.89,18,5
1319,245.86,20,20
1320,30.35,20,25
1321,337.58,3,10
1322,479.95,14,20
1323,319.81,19,25
1324,265.95,14,20
1325,429.11,3,10
1326,222.66,18,5
1327,474.84,8,10
1328,57.91,16,10
1329,343.81,2,15
1330,7.44,13,10
1331,111.14,4,25
1332,133.39,14,20
1333,464.76,19,25
1334,98.12,19,25
1335,402.58,16,15
1336,130.36,7,15
1337,304.75,8,0
1338,384.13,12,10
1339,111.26,1,0
1340,424.43,11,0
1341,305.86,4,25
1342,249.54,12,20
1343,24.04,1,15
1344,135.04,11,5
1345,216.04,9,15
1346,291.05,7,15
1347,219.64,9,10
1348,66.1,18,5
1349,384.61,15,5
1350,88.78,4,0
1351,382.46,9,0
1352,35.29,18,10
1353,397.8,10,0
1354,117.22,1,20
1355,140.07,19,20
1356,340.05,5,0
1357,350.92,7,25
1358,36.53,2,5
1359,8.81,13,15
1360,368.56,6,25
1361,99.79,17,25
1362,403.33,6,5
1363,58.29,13,15
1364,319.18,19,0
1365,210.03,11,20
1366,226.2,3,20
1367,465.05,19,10
1368,141.14,3,0
1369,144.71,11,15
1370,129.03,17,15
1371,366.0,15,20
1372,410.19,18,5
1373,10.97,12,25
1374,336.4,6,0
1375,72.05,2,25
1376,137.81,9,20
1377,225.74,14,10
1378,69.75,6,15
1379,320.92,2,0
1380,459.72,11,15
1381,268.77,16,20
1382,275.19,10,0
1383,316.35,12,15
1384,491.89,19,15
1385,320.13,13,20
1386,185.41,5,0
1387,24.66,2,25
1388,263.96,2,0
1389,14.55,6,20
1390,445.82,6,5
1391,499.44,12,15
1392,220.33,5,10
1393,263.64,3,25
1394,291.15,15,10
1395,494.14,3,25
1396,345.59,17,5
1397,398.06,5,5
1398,105.09,11,0
1399,278.1,11,5
1400,122.89,13,15
1401,106.44,4,20
1402,36.25,13,0
1403,150.36,4,15
1404,83.39,16,20
1405,226.91,19,25
1406,338.91,16,25
1407,95.01,9,0
1408,173.35,13,15
1409,352.13,13,15
1410,441.53,13,10
1411,430.85,13,5
1412,64.69,7,5
1413,315.88,14,15
1414,363.97,18,5
1415,232.0,20,10
1416,357.31,13,20
1417,295.45,9,5
1418,122.04,6,0
1419,34.92,4,0
1420,219.92,15,5
1421,322.01,14,25
1422,269.65,18,10
1423,194.4,13,25
1424,268.7,11,10
1425,67.77,3,20
1426,492.06,12,0
1427,477.23,7,20
1428,130.38,8,5
1429,256.36,7,5
1430,153.09,3,15
1431,410.0,7,25
1432,334.07,20,0
1433,331.49,16,15
1434,455.72,2,15
1435,46.74,19,15
1436,492.84,10,15
1437,173.81,2,10
1438,18.63,18,5
1439,75.76,14,20
1440,208.92,1,10
1441,67.99,9,25
1442,319.83,3,10
1443,73.7,3,10
1444,61.68,7,5
1445,498.5,14,0
1446,393.0,15,0
1447,327.36,3,20
1448,294.17,8,5
1449,314.23,14,0
1450,308.58,7,0
1451,462.58,5,5
